ObjectiveName	ObjectiveDescription	PerspectiveName	PrefixName	OwnerID
Leadership and Youth - Leading with Vision & Purpose	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-5a5ee884-9837-ad07-569e-cbdb13de7d85"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Our community&rsquo;s leaders align with the community's vision and values.</span></h3> </span>	Renewal	Spoke Teams	80
Leadership and Youth - Leaders Creating Leaders	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-5a5ee884-9838-d6f4-734d-de4ea8f6c6d5"> <h3 dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 6pt;"><span style="font-family: calibri; font-size: 13.3333px; white-space: pre-wrap; line-height: 27px;">Leaders&nbsp;intentionally develop themselves and the next generation&nbsp;of diverse&nbsp;leaders</span></h3> </span>	Renewal	Spoke Teams	80
Leadership and Youth - Engaging Our Youth	<span style="line-height: 27px; font-family: &quot;open sans&quot;, sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;" id="docs-internal-guid-5a5ee884-9839-6f39-8d99-2a19b982e844"> <p dir="ltr" style="line-height: 1.38; margin-top: 4pt; margin-bottom: 4pt;"><span style="font-family: calibri; font-size: 13.3333px; line-height: 27px; white-space: pre-wrap;">All youth are engaged in opportunities to discover and grow the leader within</span></p> </span>	Renewal	Spoke Teams	80
Leadership and Youth - Strategy #4	<span style="font-family: 'open sans', sans-serif; color: #777777; line-height: 27px; background-color: #ffffff;">Everyone&nbsp;Achieves: Our leaders will align to end Generational Poverty.</span><br />	Renewal	Spoke Teams	80
Leadership and Youth - Strategy #5	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Leading with Vision &amp; Purpose: Our community leaders will align with a sense of purpose.</span><br />	Renewal	Spoke Teams	80
Arts and Recreation - Strategy #1	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Cultural Plan:The power of arts and culture to reshape lives, neighborhoods, and communities will be a driving force for social change as organizations and individuals create and align around a Cultural Plan.</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #2	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Access: Residents of all ages and abilities will be exposed to, participate in, and have the opportunity to master their own chosen form of art or recreation..</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #3	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Diversity: Arts and recreation opportunities will be as diverse as our region itself; All residents of the Rock River Valley will &ldquo;see themselves&rdquo; in the forms of arts and recreation activities offered in our community..</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #4	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Physical Assets:Our region&rsquo;s arts and recreation venues, physical assets, and natural resources amenities will be safe, modern, and utilized by both residents and tourists.</span><br />	Sense of Place	Spoke Teams	80
Arts and Recreation - Strategy #5	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Marketing: An integrated marketing plan will publicize and promote the Rock River Valley&rsquo;s arts, recreation, and cultural events, opportunities, and assets to local, state, national, and global audiences.</span><br />	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #1	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Infrastructure: The condition of all physical structures results in occupied, purposeful space that is beneficial to our community.</span><br />	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #2	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Resources: Neighborhoods will have access to resources and amenities that promote positive community environment.</span>	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #3	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Equality: Ensure that our communities honors and embraces diversity and the success of all people at all levels.</span><br />	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #4	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Uniqueness: Promote the vitality, community standards, and unique character of each of our neighborhoods.</span>	Sense of Place	Spoke Teams	80
Families and Neighborhoods - Strategy #5	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">Collaboration: Cultivate and foster collaborative partnerships that utilize the strengths of our residents and organizations to become a Top 25 community.</span>	Sense of Place	Spoke Teams	80
Unity, Pride, Culture - Strategy #1	<span style="line-height: 27px; font-family: 'open sans', sans-serif; font-size: 16px; color: #777777; background-color: #ffffff;">We have a shared community story.</span>	Sense of Place	Spoke Teams	80
Unity, Pride, Culture - Strategy #2	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">We will deepen relationships by building bridges across the barriers that divide us.</span><br />	Sense of Place	Spoke Teams	80
Unity, Pride, Culture - Strategy #3	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Equality: Ensure that our communities honors and embraces diversity and the success of all people at all levels.</span><br />	Sense of Place	Spoke Teams	80
Unity, Pride, Culture - Strategy #4	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Uniqueness: Promote the vitality, community standards, and unique character of each of our neighborhoods.</span><br />	Sense of Place	Spoke Teams	80
Unity, Pride, Culture - Strategy #5	<span style="color: #777777; font-family: 'open sans', sans-serif; font-size: 16px; line-height: 27px; background-color: #ffffff;">Collaboration: Cultivate and foster collaborative partnerships that utilize the strengths of our residents and organizations to become a Top 25 community.</span><br />	Sense of Place	Spoke Teams	80
Transformation Map		Internal Processes	Support Teams	80
Community Engagement		Internal Processes	Support Teams	80
Regional Communication		Internal Processes	Support Teams	80
Use and knowledge of community networks enables better alignment 	<span id="docs-internal-guid-f25e8293-0969-4ffb-a589-a053fcd58fa9" style="font-size: 14.6667px; font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;"><span style="font-family: arial, sans, sans-serif; font-size: 13px; line-height: 13px; white-space: pre-wrap; background-color: #ffffff;">Network Map Vision</span>: Through the use and knowledge of community networks better alignment toward community objectives will occur</span>	Outcomes	Community Capability	80
Capacity to gather, share and use data, information and knowledge	<span id="docs-internal-guid-f25e8293-096e-3202-9072-6d9689dac283" style="font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; font-size: 13px;"><span style="font-weight: bold; font-family: arial, sans, sans-serif; font-size: 13px;" data-sheets-value="{&quot;1&quot;:2,&quot;2&quot;:&quot;The goal is to develop enabling capabilities to achieve discovery of network relationships and support effective community engagement therby bring capacity to the community to gather, share and use data, information and knowlwedge&quot;}" data-sheets-userformat="{&quot;2&quot;:17281,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;17&quot;:1}"></span><span style="font-weight: bold; font-family: arial, sans, sans-serif; font-size: 13px;" data-sheets-value="{&quot;1&quot;:2,&quot;2&quot;:&quot;The goal is to  bring capacity to the community to gather, share and use data, information and knowledge&quot;}" data-sheets-userformat="{&quot;2&quot;:17153,&quot;3&quot;:{&quot;1&quot;:0},&quot;11&quot;:4,&quot;12&quot;:0,&quot;17&quot;:1}"></span><span style="line-height: 13px; white-space: pre-wrap; font-family: arial, sans, sans-serif; font-size: 13px; background-color: #ffffff;">The strategy objective is to  bring capacity to the community to gather, share and use data, information and knowledge</span><br /> </span>	Outcomes	Community Capability	80
Capability to achieve discovery of network relationships	<span style="font-weight: bold; font-family: arial, sans, sans-serif; font-size: 13px;" data-sheets-value="{&quot;1&quot;:2,&quot;2&quot;:&quot;The goal is to develop enabling capabilities to achieve discovery of network relationships and support effective community engagement &quot;}" data-sheets-userformat="{&quot;2&quot;:17281,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;17&quot;:1}">The strategy objective is to develop enabling capabilities to achieve discovery of network relationships and support effective community engagement&nbsp;</span>	Outcomes	Community Capability	80
OLD Optimize engagement, communications and alignment of community networks	<span id="docs-internal-guid-f25e8293-0979-190d-a0c7-db80f78c5af0"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="font-size: 12px; font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;">Optimize engagement, communications and alignment of community networks</span></p> <div><span style="font-size: 12px; font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;"><br /> </span></div> </span>	Internal Processes	No Prefix	80
Understand how community thinks and engage with each other to better advocate ideas	<span id="docs-internal-guid-f25e8293-0979-ef1e-c64b-d446a9dbc2e2"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="font-size: 12px; font-family: calibri; font-weight: 700; vertical-align: baseline; white-space: pre-wrap;">Understand how community thinks and engage with each other to better advocate ideas</span></p> <div><span style="font-size: 12px; font-family: calibri; font-weight: 700; vertical-align: baseline; white-space: pre-wrap;"><br /> </span></div> </span>	Learning & Growth	Support Teams	80
Facilitate and support effective community engagement	<span id="docs-internal-guid-f25e8293-097b-0aaa-89f7-1a838fc8626b"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="font-size: 12px; font-family: calibri; font-weight: 700; vertical-align: baseline; white-space: pre-wrap;">Facilitate and support effective community engagement</span></p> <div><span style="font-size: 12px; font-family: calibri; font-weight: 700; vertical-align: baseline; white-space: pre-wrap;"><br /> </span></div> </span>	Internal Processes	Support Teams	80
OLD Tools to Curate, Organize and Discover Social Network Graph Relationships	<span id="docs-internal-guid-f25e8293-097c-1dc9-413e-a84b47e466c9"> <p dir="ltr" style="line-height: 1.08; margin-top: 0pt; margin-bottom: 0pt;"><span style="font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; font-size: 13px;">Tools to Curate Organize and Discover Social Network Graph Relationships</span></p> <div><span style="font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; font-size: 13px;"><br /> </span></div> </span>	Strategies	No Prefix	80
Processes used for Stakeholder Engagement, Targeted Communications, Alignment	<span id="docs-internal-guid-f25e8293-097d-1fcf-fef1-634747a7b142"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt;"><span style="font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; font-size: 13px;">Plan &amp; Support Process for Network Map &nbsp;Social Graphs <span style="font-size: 100%; font-family: calibri; font-weight: bold; color: #434343;" data-sheets-value="{&quot;1&quot;:2,&quot;2&quot;:&quot;Processes used for Stakeholder Engagement, Targeted Communications, Alignment&quot;}" data-sheets-userformat="{&quot;2&quot;:31617,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:{&quot;1&quot;:2,&quot;2&quot;:4408131},&quot;15&quot;:&quot;Calibri&quot;,&quot;16&quot;:10,&quot;17&quot;:1}">Processes for Stakeholder Engagement, Targeted Communications, Alignment</span><br /> </span></p> <div><span style="font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; font-size: 13px;"><br /> </span></div> </span>	Internal Processes	Support Teams	80
Optimize engagement, communications and alignment of community networks	<p style="margin: 0pt 0in; text-indent: 0in; text-align: center; direction: ltr; unicode-bidi: embed;"> </p> <div style="text-align: center;"><span style="font-size: 18px;"><span style="text-indent: 0in; text-align: left; font-family: arial; font-size: 18px;">Optimize</span><span style="text-indent: 0in; font-family: arial; font-size: 18px;">&nbsp;Network Engagement:</span></span></div> <span style="font-family: arial;"><span style="font-size: 18px;"><br /> <span style="line-height: 13px; white-space: pre-wrap; font-size: 13px; background-color: #ffffff;">The strategy objective is to optimize engagement, communication and alignment of Community Network allowing us to understand how the community thinks and engage with each other to better advocate our ideas.</span><br /> </span><br /> </span>	Strategies	Community Capability	80
Understand how community network thinks and engage with each other to better advocate ideas	<p style="margin: 0pt 0in;"><span style="font-family: calibri; font-size: 18px;"><span style="font-size: 110%; font-family: arial, sans, sans-serif; color: #595959;" data-sheets-value="{&quot;1&quot;:2,&quot;2&quot;:&quot;Understand Community Engagement&quot;}" data-sheets-userformat="{&quot;2&quot;:11137,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:0,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:{&quot;1&quot;:2,&quot;2&quot;:5855577},&quot;16&quot;:11}">Understand Community Engagement:</span><br /> <br /> <span style="line-height: 13px; white-space: pre-wrap; font-family: arial, sans, sans-serif; font-size: 13px; background-color: #ffffff;">The strategy objective is to understand how the community network thinks and engage with each other to better advocate our ideas.</span><br /> </span></p>	Strategies	Community Capability	80
Facilitate and support network map use for effective community network  engagement	<span style="font-size: 18px;">Network Map Support:<br /> </span> <div><br /> <span style="line-height: 13px; white-space: pre-wrap; font-family: arial, sans, sans-serif; font-size: 13px; background-color: #ffffff;">The strategy objective is to facilitate effective community engagement and support of network map resources, education and use</span><br /> <br /> </div>	Strategies	Community Capability	80
Tools to Curate Organize and Discover Social Network Graph Relationships	<span style="font-size: 18px;"><span style="font-size: 18px;">Network Map Tools:</span><br /> <br /> <span data-sheets-value="{&quot;1&quot;:2,&quot;2&quot;:&quot;The strategy objective is to develop and devliver software tools that enable community members to currate, organize and discover relationships from social graph data&quot;}" data-sheets-userformat="{&quot;2&quot;:513,&quot;3&quot;:{&quot;1&quot;:0},&quot;12&quot;:0}" style="font-size: 13px;">The strategy objective is to develop and&nbsp;deliver&nbsp;software tools that enable community members to currate, organize and discover relationships from social graph data</span><br /> <br /> </span> <div><br /> </div>	Strategies	Community Capability	80
Processes used for Stakeholder Engagement, Targeted Communications, Network Alignment	<span style="font-size: 18px;">Network Map Processes:<br /> <br /> <span style="font-family: arial, sans, sans-serif; font-size: 13px; line-height: 13px; white-space: pre-wrap; background-color: #ffffff;">The strategy objective is to establish consistent and measurable processes to guide network map activities in a way that maximizes efficiency and results</span><br /> <br /> </span> <div><br /> <br /> </div>	Strategies	Community Capability	80
Gather & Organize  Data from many sources for community benefit	Gathering Data:<br /> <br /> Gather &amp; Organize Data from many sources for community benefit	Resources	Community Capability	74
Summarize & Analyse Information to Share with  each other	<span id="docs-internal-guid-de351c66-11fd-9491-812a-e294de4f0e4b"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt; text-align: center;"><span style="font-size: 12px; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;"></span></p> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt; text-align: center;"><span style="font-size: 12px; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;"><span style="font-family: arial, sans, sans-serif; font-size: 13px; line-height: 13px; white-space: pre-wrap; background-color: #ffffff;">Sharing Information</span>: Summarize &amp; Analyse Information to Share with &nbsp;each other</span></p> <div></div> <div><span style="font-size: 12px; font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri; color: #d9d9d9;"><br /> </span></div> </span>	Strategies	Community Capability	74
Synthesize & Discover Knowledge to collaborate and engage	<span style="font-family: arial, sans, sans-serif; font-size: 13px; line-height: 13px; white-space: pre-wrap; background-color: #ffffff;">Using Knowledge</span>:<br /> <br /> Synthesize &amp; Discover Knowledge to collaborate and engage	Resources	Community Capability	74
Leverage Best Practices and Tools to Facilitate and Support Effective Community Engagement	<span id="docs-internal-guid-59bfa654-11ff-e2ff-f6a0-1ef3440b8135"> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt; text-align: center;"><span style="font-size: 12px; font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;"><span style="font-family: arial, sans, sans-serif; font-size: 13px; line-height: 13px; white-space: pre-wrap; background-color: #ffffff;">Facilitate and Support</span>: Leverage Best Practices and Tools to Facilitate and Support Effective Community Engagement</span></p> <div><span style="font-size: 12px; font-weight: 700; vertical-align: baseline; white-space: pre-wrap; font-family: calibri;"><br /> </span></div> </span>	Resources	Community Capability	74
Initiative Support	<span id="docs-internal-guid-20d9fb65-16e8-6f80-f316-7c8540606ab8"><span style="font-size: 18px;"> </span> <p dir="ltr" style="line-height: 1.2; margin-top: 0pt; margin-bottom: 0pt; text-align: center;"><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 18px; color: #434343;"></span></p> <span id="docs-internal-guid-20d9fb65-16e9-13ba-fec2-2e887edb3cb5" style="font-size: 18px;"><span style="white-space: pre-wrap; line-height: 1.2; font-family: arial; font-size: 18px; color: #4a4b4c;">To provide support to the community by facilitating the transformation activities of the Transform Rockford initiative</span><br /> <span style="white-space: pre-wrap; line-height: 1.2; font-size: 18px; color: #4a4b4c;"><span style="font-family: arial;"> Strategies: </span> <ul>     <li><span style="font-size: 16px;"><span style="line-height: 1.2; font-size: 18px;">Framework</span><br />     </span></li>     <li><span style="line-height: 1.2; font-size: 16px;">Support, Leadership</span><span style="font-family: arial;"><br />     </span></li> </ul> <span style="font-family: arial;"> Objectives:</span></span><br /> <ul style="margin-top: 0pt; margin-bottom: 0pt;">     <ul style="margin-top: 0pt; margin-bottom: 0pt;">         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;">         <p dir="ltr" style="line-height: 1.2; margin-top: 5.6pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px; color: #4a4b4c;">Highly Functioning Framework</span></p>         </li>         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;"><span style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px; color: #4a4b4c;">Volunteer experience and satisfaction</span></li>     </ul> </ul> </span> <div><span style="vertical-align: baseline; white-space: pre-wrap; font-family: arial; font-size: 32px; color: #434343;"><span style="font-size: 18px;"><br /> </span><span style="font-family: arial;"> </span></span></div> </span>	Outcomes	Support Teams	80
Transformation Map	<span id="docs-internal-guid-20d9fb66-16eb-6947-2495-b1b515ff5a91"><span style="white-space: pre-wrap; line-height: 1.08; font-family: arial; font-size: 18px; color: #4a4b4c;">To create the roadmap of the communities transformation include project and metrics information as well as an overarching community transformation dashboard </span><br /> <span style="font-size: 18px;">Strategies:</span><br /> <ul>     <li>T-Map</li>     <li>Dashboard</li>     <li>Project Inventory</li>     <li>Project Launch</li> </ul> <span style="font-size: 18px;"><span style="white-space: pre-wrap; line-height: 1.08; font-family: arial; font-size: 18px; color: #4a4b4c;">Objectives</span><br /> </span> <ul style="margin-top: 0pt; margin-bottom: 0pt;">     <ul style="margin-top: 0pt; margin-bottom: 0pt;">         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;">         <p dir="ltr" style="line-height: 1.08; margin-top: 5.6pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px; color: #4a4b4c;">High functioning Dashboard</span></p>         </li>         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;">         <p dir="ltr" style="line-height: 1.08; margin-top: 5.6pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px; color: #4a4b4c;">Transformation Map Completion</span></p>         </li>         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;">         <p dir="ltr" style="line-height: 1.08; margin-top: 5.6pt; margin-bottom: 0pt;"><span style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px; color: #4a4b4c;">Communication of Project Inventory</span></p>         </li>         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;"><span style="vertical-align: baseline; white-space: pre-wrap; font-size: 18px; color: #4a4b4c;">8 Transformational Project Launches</span></li>     </ul> </ul> </span>	Outcomes	Support Teams	80
Community Engagement - 	<span id="docs-internal-guid-20d9fb67-16ed-0726-1c4d-366d848dfc28"><span style="font-size: 18px;"><span style="font-size: 18px; white-space: pre-wrap; line-height: 1.2; font-family: arial; color: #4a4b4c;">To increase the reach of our community&rsquo;s transformation by gaining support and alignment to the community&rsquo;s shared vision and values</span><br /> <span style="font-size: 18px; white-space: pre-wrap; line-height: 1.2; font-family: arial; color: #4a4b4c;"> <span style="font-size: 18px; white-space: pre-wrap; line-height: 1.2; font-family: arial; color: #4a4b4c;">Strategies: <ul>     <li><span style="line-height: 21.6px;">Network Map</span></li>     <li><span style="line-height: 21.6px;">Stakeholder Alignment</span></li> </ul> <br /> </span> Objectives:</span><br /> </span> <ul style="margin-top: 0pt; margin-bottom: 0pt;">     <ul style="margin-top: 0pt; margin-bottom: 0pt;">         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;">         <p dir="ltr" style="line-height: 1.2; margin-top: 5.6pt; margin-bottom: 0pt;"><span style="font-size: 18px; vertical-align: baseline; white-space: pre-wrap; color: #4a4b4c;">Network map tool in use and benchmarked</span></p>         </li>         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;">         <p dir="ltr" style="line-height: 1.2; margin-top: 5.6pt; margin-bottom: 0pt;"><span style="font-size: 18px; vertical-align: baseline; white-space: pre-wrap; color: #4a4b4c;">100 Stakeholder commitments</span></p>         </li>     </ul> </ul> </span>	Outcomes	Support Teams	80
Regional Communication 	<span id="docs-internal-guid-fa6570b1-16ee-efd9-f517-a0366ae0a4ca"><span style="font-size: 18px;"><span style="font-size: 18px; white-space: pre-wrap; line-height: 1.2; font-family: arial; color: #4a4b4c;">To change the regional and national perception of our community through telling the story of our transformational journey </span><br /> Strategies:<br /> <ul>     <li>Enhanced Rockford Brand</li> </ul> <br /> <span style="font-size: 18px; white-space: pre-wrap; line-height: 1.2; font-family: arial; color: #4a4b4c;">Objectives:</span><br /> </span> <ul style="margin-top: 0pt; margin-bottom: 0pt;">     <ul style="margin-top: 0pt; margin-bottom: 0pt;">         <li dir="ltr" style="list-style-type: disc; font-size: 37.3333px; color: #99cc53; vertical-align: baseline; margin-left: -5px;"><span style="font-size: 18px; vertical-align: baseline; white-space: pre-wrap; color: #4a4b4c;">6 regionally published/broadcasted stories </span></li>     </ul> </ul> </span>	Outcomes	Support Teams	80
Technology Team Objective Measurements		Strategies	Technology	74
Process / Analysis Team Objective Measurements		Strategies	Process/Analysis	77
Engagement Team Objective Measurements		Strategies	Engagement	80
Communications Team Objective Measurements		Strategies	Communications	81
Leadership Development Team Objective Measurements		Strategies	Leadership Dev	81
TR Staff Objective Measurements		Strategies	TR Staff	77
Top 25 Community	<span style="font-size: 20px; font-family: arial;">The mission of Transform Rockford is to facilitate the Rockford region's transformation into a Top 25 Community</span>	Mission	No Prefix	80
Achieving the Community Vision	<span style="font-size: 20px;">The community achieves the conditions described in its vision and impact statement</span>	Outcomes	Steering Committee	80
Strategic Planning	<span style="font-size: 20px;">The community creates, implements and continually improves its strategic plan.</span> <br /> <br /> <span style="font-size: 20px;">Goal:<br /> Using the process framework provided, spoke teams develop community strategies and plans and facilitate their implementation to transform the Rockford region into a Top 25 community. </span>	Outcomes	Steering Committee	80
Creating the Climate	<span style="font-size: 20px;">The community has a climate where transformation flourishes.<br /> <br /> Goal:<br /> The necessary environment and processes exist to allow for the effective creation and implementation of transformational community strategies and plans.</span>	Outcomes	Steering Committee	80
